InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month
579524,20685,DOORMAT RED RETROSPOT,2,2011-11-30 08:17:00,8.25,16295.0,United Kingdom,16.5,2011-11
571909,21355,TOAST ITS - I LOVE YOU ,2,2011-10-19 15:08:00,1.25,15006.0,United Kingdom,2.5,2011-10
570713,23349,ROLL WRAP VINTAGE CHRISTMAS,12,2011-10-12 10:18:00,1.25,17064.0,United Kingdom,15.0,2011-10
574728,23485,BOTANICAL GARDENS WALL CLOCK ,1,2011-11-06 15:02:00,25.0,13719.0,United Kingdom,25.0,2011-11
561066,21980,PACK OF 12 RED RETROSPOT TISSUES ,12,2011-07-24 14:21:00,0.29,16710.0,United Kingdom,3.4799999999999995,2011-07
573117,23228,FILIGREE HEART BIRD WHITE ,24,2011-10-27 16:11:00,1.25,16688.0,United Kingdom,30.0,2011-10
575086,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-11-08 13:52:00,2.95,16618.0,United Kingdom,35.400000000000006,2011-11
563213,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,8,2011-08-14 12:55:00,0.55,16115.0,United Kingdom,4.4,2011-08
568556,22576,SWALLOW WOODEN CHRISTMAS DECORATION,12,2011-09-27 15:35:00,0.85,15827.0,United Kingdom,10.2,2011-09
546117,22982,PANTRY PASTRY BRUSH,6,2011-03-09 13:56:00,1.25,16771.0,United Kingdom,7.5,2011-03
572862,23356,LOVE HOT WATER BOTTLE,1,2011-10-26 12:48:00,5.95,16750.0,United Kingdom,5.95,2011-10
556502,48188,DOORMAT WELCOME PUPPIES,2,2011-06-13 08:43:00,7.95,13761.0,United Kingdom,15.9,2011-06
571129,23508,MINI PLAYING CARDS DOLLY GIRL ,20,2011-10-14 10:03:00,0.42,14156.0,EIRE,8.4,2011-10
557309,85017B,ENVELOPE 50 BLOSSOM IMAGES,36,2011-06-19 15:15:00,0.42,16493.0,United Kingdom,15.12,2011-06
556905,22467,GUMBALL COAT RACK,1,2011-06-15 13:05:00,2.55,16904.0,United Kingdom,2.55,2011-06
538510,22154,ANGEL DECORATION 3 BUTTONS ,2,2010-12-12 13:47:00,0.42,18004.0,United Kingdom,0.84,2010-12
557802,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-06-23 10:15:00,2.95,15130.0,United Kingdom,17.700000000000003,2011-06
554989,20766,GARDEN PATH SKETCHBOOK,1,2011-05-29 13:50:00,3.75,15897.0,United Kingdom,3.75,2011-05
576099,21808,"CHRISTMAS GARLAND STARS,TREES",6,2011-11-14 10:28:00,3.75,13021.0,United Kingdom,22.5,2011-11
540383,22499,WOODEN UNION JACK BUNTING,9,2011-01-06 17:47:00,5.95,16422.0,United Kingdom,53.550000000000004,2011-01
577171,84912B,GREEN ROSE WASHBAG,4,2011-11-18 10:52:00,3.75,17159.0,United Kingdom,15.0,2011-11
554964,48184,DOORMAT ENGLISH ROSE ,1,2011-05-27 15:57:00,7.95,15867.0,United Kingdom,7.95,2011-05
547565,21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,12,2011-03-24 09:21:00,1.65,13035.0,United Kingdom,19.799999999999997,2011-03
545544,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-03-03 14:56:00,0.55,14057.0,United Kingdom,13.200000000000001,2011-03
570008,22598,CHRISTMAS MUSICAL ZINC TREE,12,2011-10-07 09:30:00,0.85,13359.0,United Kingdom,10.2,2011-10
562902,23294,SET OF 6 SNACK LOAF BAKING CASES,8,2011-08-10 12:41:00,0.83,13925.0,United Kingdom,6.64,2011-08
577951,20712,JUMBO BAG WOODLAND ANIMALS,3,2011-11-22 12:09:00,2.08,17238.0,United Kingdom,6.24,2011-11
542528,22423,REGENCY CAKESTAND 3 TIER,2,2011-01-28 13:04:00,12.75,13141.0,United Kingdom,25.5,2011-01
572681,21500,PINK POLKADOT WRAP ,25,2011-10-25 13:51:00,0.42,13510.0,United Kingdom,10.5,2011-10
567701,21809,CHRISTMAS HANGING TREE WITH BELL,48,2011-09-22 09:36:00,0.39,17172.0,United Kingdom,18.72,2011-09
544476,22891,TEA FOR ONE POLKADOT,1,2011-02-21 09:58:00,4.25,14796.0,United Kingdom,4.25,2011-02
576328,20724,RED RETROSPOT CHARLOTTE BAG,20,2011-11-14 15:19:00,0.85,13577.0,United Kingdom,17.0,2011-11
569723,85014B,RED RETROSPOT UMBRELLA,3,2011-10-06 09:32:00,5.95,12431.0,Australia,17.85,2011-10
